,subj_idx,trial_PE,trial_TR_PE,trial_TI_PE,rt,pupil_response_1,pupil_response_2,missed_response,response
10655,26,PP,0,0,0.658515082174,0.682950088513,1.97157791083,0,0.0
10656,26,PP,0,0,0.633551362454,1.10573203735,1.00412247033,0,1.0
10657,26,PP,0,0,1.49185221057,4.01604353749,3.30888805838,0,1.0
10658,26,UP,1,0,0.558504979819,0.681491187389,1.80359697061,0,1.0
10659,26,PP,0,0,1.20017895599,0.939801113431,3.78521261735,0,0.0
10660,26,PP,0,0,0.466858023436,1.94106474766,3.22327362493,0,1.0
10661,26,UU,1,1,0.466855137047,1.89246548079,3.64865492358,0,1.0
10662,26,PP,0,0,0.866850326402,0.568734687963,5.20814914246,0,1.0
10663,26,PU,0,1,0.86687213466,0.73459275685,4.14377652373,0,1.0
10664,26,PP,0,0,0.691858945474,2.59392163507,4.55920989351,0,1.0
10665,26,UP,1,0,1.22517570881,0.294706828822,1.53283980384,0,1.0
10666,26,PP,0,0,0.466834290919,0.422541085116,0.864686226696,0,1.0
10667,26,PU,0,1,0.508527509674,0.339144956366,1.49469957611,0,1.0
10668,26,PP,0,0,0.558545068528,0.703552056056,0.536733405597,0,1.0
10669,26,PP,0,0,0.958370923179,0.504226169883,2.43574848071,0,0.0
10670,26,PP,0,0,0.57517065763,0.853436628554,1.31948447961,0,1.0
10671,26,PU,0,1,1.13353837371,1.32707989119,1.76719801647,0,1.0
10672,26,PP,0,0,0.575195031566,0.380654124935,1.97014796958,0,1.0
10673,26,PP,0,0,0.741911782392,1.0697399844,2.34503419776,0,1.0
10674,26,PP,0,0,0.800178635283,2.48034955543,1.40741460047,0,1.0
10675,26,PP,0,0,0.541897350457,1.0083044672,1.29240233727,0,1.0
10676,26,UP,1,0,1.52520537445,1.35449980561,0.834789146287,0,1.0
10677,26,PP,0,0,0.600180559542,2.01650776762,1.47250957711,0,1.0
10678,26,UU,1,1,1.2836381946,1.29275214354,1.45882945201,0,1.0
10679,26,PP,0,0,0.841897510812,2.3917367776,1.64304477596,0,1.0
10680,26,PP,0,0,0.600203329928,0.857862688495,0.392748002458,0,1.0
10681,26,PU,0,1,0.766864918693,2.1856766404,2.51966241533,0,1.0
10682,26,PP,0,0,1.13348673946,1.31719934165,2.09659901555,0,1.0
10683,26,UU,1,1,0.866848402145,0.215045145362,0.282907327941,0,0.0
10684,26,PU,0,1,1.15858611936,1.10396468908,1.0106574888,0,0.0
10685,26,PP,0,0,1.20849175055,1.04503814833,1.20157987163,0,1.0
10686,26,PP,0,0,1.22516352184,0.178418045763,1.01558190353,0,1.0
10687,26,UP,1,0,1.16685369385,0.337577131674,1.59775779833,0,0.0
10688,26,PP,0,0,0.525168492841,0.61692912738,0.258851162648,0,1.0
10689,26,PP,0,0,0.658530796947,1.43904282241,1.30331912985,0,1.0
10690,26,PP,0,0,1.15853448511,1.56894831183,1.16694834377,0,0.0
10691,26,PP,0,0,0.58352418231,1.0384156784,1.99387751183,0,1.0
10692,26,PP,0,0,1.07521283095,0.794520770684,1.2640862958,0,1.0
10693,26,PP,0,0,0.450191383494,0.658795032693,3.98095181263,0,1.0
10694,26,PP,0,0,0.800164844768,1.89484041844,0.301071151065,0,1.0
10695,26,PP,0,0,0.600181521671,1.10438381944,2.21503688465,0,1.0
10696,26,PU,0,1,0.541843150524,1.67690284622,0.700926108805,0,1.0
10697,26,UU,1,1,0.666850647112,0.554483691043,1.69472090209,0,1.0
10698,26,PP,0,0,1.28354454738,0.811136970521,2.70373905493,0,0.0
10699,26,UP,1,0,1.07515510321,0.568384146787,0.858349118663,0,1.0
10700,26,PP,0,0,1.0585259863,1.05684202656,4.02785994837,0,1.0
10701,26,PP,0,0,0.700186813381,0.560893401869,0.824017784389,0,1.0
10702,26,PP,0,0,1.35018961959,0.227711358779,0.700456645004,0,1.0
